Exchange Date,Nasdaq,DJI,CSI300,SSEC,FTSE100,FTSE250,CAC40,DAX,year,month
2012-05-31,12393.45,2827.34,413.303707425843,372.506665829185,8195.77338960597,16262.9309016974,3727.83324272229,7740.30049918451,2012,5
2012-06-01,12118.57,2747.48,413.408384361752,372.654466949285,8080.16897081414,15893.5637480799,3668.00517168501,7521.68129491035,2012,6
2012-06-06,12414.79,2844.72,401.873281267188,362.926426450022,8339.95786734411,16394.1881718765,3844.77296726504,7660.77085533262,2012,6
2012-06-07,12460.96,2831.02,399.500895747556,360.362322029104,8459.30124223602,16684.9689440994,3857.3689366726,7717.1242683815,2012,6
2012-06-08,12554.2,2858.42,396.2964300292,358.166190461239,8409.14084136586,16553.3860411864,3819.48233998349,7673.30846829709,2012,6
2012-06-11,12411.23,2809.73,401.680824004144,362.04931777858,8407.67968798366,16495.7593016777,3795.85828343313,7660.99051896207,2012,6
2012-06-12,12573.8,2843.07,398.753276925734,359.447906691993,8525.41079355192,16449.1239000078,3812.30684533864,7708.96988351289,2012,6
2012-06-13,12496.38,2818.61,405.21881133705,364.124032346707,8503.74494084078,16342.1930001395,3804.19334588826,7724.40677966102,2012,6
2012-06-14,12651.91,2836.33,401.93730181156,360.419782738376,8503.46854974181,16447.8162135258,3829.9632469025,7753.02171085034,2012,6
2012-06-15,12767.17,2872.8,403.471224999606,362.432984021743,8610.01367215123,16861.7698364056,3901.51505578793,7871.47929592239,2012,6
2012-06-18,12741.82,2895.33,406.055247923482,364.342467908381,8603.48771621958,16798.4457257457,3855.72727387045,7857.09794650603,2012,6
2012-06-19,12837.33,2929.76,402.666110604009,362.09042837808,8783.36818603481,17092.3884844578,3955.697085802,8073.17846766723,2012,6
2012-06-20,12824.39,2930.45,401.385486280369,360.54359619467,8835.49416183425,17322.4741879213,3971.94943784539,8120.59963158228,2012,6
2012-06-21,12573.57,2859.09,394.724561624035,355.238074288229,8676.28904545174,17059.4488434442,3905.56572775841,7954.9650104091,2012,6
2012-06-25,12502.66,2836.16,386.056796215681,349.53313636435,8487.72929708182,16617.4904232458,3777.94726247483,7667.30848576536,2012,6
2012-06-26,12534.67,2854.06,385.835193160029,349.238896048785,8517.39613141309,16677.4092664696,3762.59522917447,7664.15636318222,2012,6
2012-06-27,12627.01,2875.32,385.015182265856,348.788455184784,8599.6824111841,16738.7676308497,3819.39924437961,7766.91729323309,2012,6
2012-06-28,12602.26,2849.49,381.583923234229,345.421236432278,8520.33503955328,16578.7032728401,3795.66910036195,7649.23693080761,2012,6
2012-06-29,12880.09,2935.05,387.472375255785,350.296001888872,8749.4895875868,17168.9072462858,4046.34118555461,8121.77061049859,2012,6
2012-07-02,12871.39,2951.23,388.324302186377,350.65687417302,8852.36742572862,17409.9876018143,4077.77498112259,8175.28316133907,2012,7
2012-07-03,12943.82,2976.08,388.658669059651,350.948928667012,8921.78946212607,17552.3678059952,4123.32669473365,8291.79166561625,2012,7
2012-07-05,12896.67,2976.12,382.392183394432,346.35885897698,8837.29197714856,17279.666542474,4001.83402109124,8098.8884345143,2012,7
2012-07-06,12772.47,2937.33,388.531426775614,349.399591451918,8770.29706037231,17146.2379580584,3893.48421738116,7876.08586137835,2012,7
2012-07-09,12736.29,2931.77,379.229936115776,340.738953680014,8737.00471991058,17052.7574214383,3888.5467221798,7868.20970165801,2012,7
2012-07-10,12653.12,2902.33,378.091871681277,340.031639802683,8787.22579043717,17166.9769462285,3889.57483555655,7886.34108698051,2012,7
2012-07-11,12604.53,2887.98,380.894144250247,341.60620907335,8780.50595238097,17001.1470734127,3863.54458571446,7897.6125503249,2012,7
2012-07-12,12573.27,2866.19,384.293761375761,342.918988890981,8649.10089139752,16847.1823817895,3823.67002463596,7829.04846696102,2012,7
2012-07-13,12777.09,2908.47,384.177993070906,342.675853203531,8823.27384845371,17197.4057117942,3896.47568997833,8032.41336224323,2012,7
2012-07-16,12727.21,2896.94,376.227737363603,336.754530916845,8852.66482185016,17315.1040445258,3902.38814029405,8057.4822668925,2012,7
2012-07-17,12805.54,2910.04,378.846763436642,339.142597096901,8810.59633745501,17247.1904836438,3905.45441134891,8085.90359816587,2012,7
2012-07-18,12908.7,2942.6,379.075993091537,340.571376982257,8899.86851579379,17352.2837554394,3974.05819709383,8210.50692149903,2012,7
2012-07-19,12943.36,2965.9,380.446934387898,342.86538612432,8984.43420700932,17676.6088583513,4007.41650294694,8298.61247544202,2012,7
2012-07-20,12822.57,2925.3,376.322684909153,340.263940753758,8827.44240531041,17444.5138617727,3882.48808713409,8059.44276961973,2012,7
2012-07-23,12721.46,2890.15,370.432065898272,335.34851854172,8580.30855105046,16895.7438561129,3757.19875467903,7776.38735781171,2012,7
2012-07-24,12617.32,2862.99,372.080116510327,336.155550683558,8526.59896115977,16878.7347856423,3707.73943033549,7706.15970865594,2012,7
2012-07-25,12676.05,2854.24,369.461481864148,334.405845426509,8519.63989649349,16848.3505585943,3746.15870854808,7787.75649129629,2012,7
2012-07-26,12887.93,2893.25,367.720045740065,333.025955920362,8741.5261548114,17315.5360363893,3938.64442998022,8084.49285863409,2012,7
2012-07-27,13075.66,2958.09,368.158352531853,333.625621013367,8860.63173143544,17602.5225168483,4040.19017354568,8239.29350035103,2012,7
2012-07-30,13073.01,2945.84,366.157668673189,330.749028091298,8944.09186590847,17655.1415375915,4071.19387980288,8305.00453620384,2012,7
2012-07-31,13008.68,2939.52,366.759735257589,330.713326730494,8833.83496363183,17457.8160270881,4049.72871888881,8331.91028653686,2012,7
2012-08-01,12971.06,2920.21,370.391174623116,333.442226758794,8874.83494120024,17377.6856037657,4060.2889763587,8256.6804390876,2012,8
2012-08-02,12878.88,2909.77,366.716192869482,331.58189100047,8784.47981631448,17184.2284898693,3937.1269883803,8046.19863097121,2012,8
2012-08-03,13096.17,2967.9,369.38167950911,334.70852623154,9051.81825291311,17675.9834206616,4178.92572730763,8503.10243612449,2012,8
2012-08-06,13117.51,2989.91,374.289815962472,338.095015454133,9062.32643764236,17826.4532434709,4217.94283588567,8579.22995845992,2012,8
2012-08-07,13168.6,3015.86,375.237264973375,338.912712250443,9124.08622305528,17902.1243361449,4282.07576415153,8640.27528055056,2012,8
2012-08-08,13175.64,3011.25,375.694859298852,339.724807420217,9150.54941614755,17901.3242337915,4251.06330365975,8612.94510385759,2012,8
2012-08-09,13165.19,3018.64,379.263709132082,341.899133497931,9149.98983596814,17926.2716767525,4253.47000049221,8570.39671211302,2012,8
2012-08-10,13207.95,3020.86,377.325272409944,341.013852419063,9174.09586569387,17997.5680552287,4222.01194484725,8534.12637943325,2012,8
2012-08-13,13169.43,3022.52,369.724898998633,335.792731045541,9145.6082299622,17935.3113679489,4225.12824306994,8520.37091841767,2012,8
2012-08-14,13172.14,3016.98,370.681596577863,336.949092567546,9193.02150605052,18032.9487742178,4251.09041176904,8593.17168132867,2012,8
2012-08-15,13164.78,3030.93,366.496644084315,333.067872805295,9147.42735270594,18031.4582777926,4238.38781027278,8536.24969279919,2012,8
2012-08-16,13250.11,3062.39,364.38995271682,331.798645910241,9178.23152794603,18094.1811260206,4299.82086602012,8643.26394465375,2012,8
2012-08-17,13275.2,3076.59,363.868512110726,332.634602076124,9187.1840758532,18238.2028821701,4302.23351380683,8683.54648939974,2012,8
2012-08-20,13271.64,3076.21,361.961881997737,331.324144546485,9150.04555880227,18165.8183303484,4296.05766619763,8681.62630526548,2012,8
2012-08-21,13203.58,3067.26,364.024449723879,333.275790997341,9244.96914408371,18370.6655723733,4381.08539505187,8840.43296089384,2012,8
2012-08-22,13172.76,3073.67,361.424230496734,331.844619381249,9169.47214635076,18253.112494442,4336.05982413509,8790.42763734752,2012,8
2012-08-23,13057.46,3053.4,362.351302431732,332.583851420478,9159.90105289865,18182.3861474058,4311.99045286102,8730.06720683378,2012,8
2012-08-24,13157.97,3069.79,358.137452393691,329.247395423498,9132.2425104735,18099.849814244,4295.27086200427,8721.46878518707,2012,8
2012-08-28,13102.99,3077.14,352.36694214876,326.352475403384,9134.8790864662,17991.1113922849,4311.42577143433,8798.22092672634,2012,8
2012-08-29,13107.48,3081.19,348.718215168548,323.277864374223,9092.03590255022,18026.7686121796,4277.25364906346,8783.5244001754,2012,8
2012-08-30,13000.71,3048.71,348.28015245535,323.272246196491,9027.62212927156,17876.900007892,4225.26070973065,8622.16470352862,2012,8
2012-08-31,13090.84,3066.96,347.31081847394597,322.52564425682,9060.6637476997,18101.0692302811,4291.92812142398,8765.75330407554,2012,8
2012-09-04,13035.94,3075.06,347.342157094461,322.011990861104,9000.33322754678,18135.2586480482,4270.57995778472,8710.14674841696,2012,9
2012-09-05,13047.48,3069.27,346.497030981746,320.950259100002,8995.4369842759,18198.1175572762,4290.97529324313,8774.85479583224,2012,9
2012-09-06,13292,3135.81,349.659929368733,323.503563095163,9203.83616638256,18601.6472574915,4432.2822614252,9050.91616259834,2012,9
2012-09-07,13306.64,3136.42,365.324304723466,335.460947846377,9274.64788732397,18898.8636363637,4509.63682497372,9245.32895917163,2012,9
2012-09-10,13254.29,3104.02,367.126785009861,336.866682445759,9262.15485954564,18932.1630134139,4472.68714599172,9202.55651375209,2012,9
2012-09-11,13323.36,3104.53,364.944987292617,334.74151131036,9306.96553386358,18928.9306660239,4546.83342545344,9396.39060632162,2012,9
2012-09-12,13333.35,3114.31,366.745862379664,336.155625108676,9312.56744350852,19022.7737602474,4571.15769106739,9472.4669461464,2012,9
2012-09-13,13539.86,3155.83,363.140424052833,333.424763800677,9400.31011758624,19134.4650471637,4548.52326155286,9494.6619217082,2012,9
2012-09-14,13593.37,3183.95,366.702351730145,336.344445324254,9590.86561066164,19643.833395483,4700.48296498505,9727.71536563601,2012,9
2012-09-17,13553.1,3178.67,357.559759379451,329.032705398131,9574.55242551254,19626.4743152354,4661.00494471624,9710.64884645148,2012,9
2012-09-18,13564.64,3177.8,353.749821957047,325.944118252171,9531.03022625022,19382.643862983,4582.64624536869,9585.77727913168,2012,9
2012-09-19,13577.96,3182.62,356.031129638142,327.753704965843,9551.15811328101,19422.2247453449,4607.96388591707,9642.72108133496,2012,9
2012-09-20,13596.93,3175.96,348.364585316326,321.219112887873,9492.72800972844,19341.6781516012,4551.65795650537,9582.67736957449,2012,9
2012-09-21,13579.47,3179.96,348.775277156587,321.436614803888,9496.9980203161,19391.2147470224,4582.49402969577,9671.39964697332,2012,9
2012-09-24,13558.92,3160.78,351.161972389089,322.263318064383,9470.02724795643,19305.6799013884,4521.87742435996,9585.15645202998,2012,9
2012-09-25,13457.55,3117.73,350.500975308054,321.818878157856,9484.49386552719,19312.1459324723,4532.13553288363,9576.95631424851,2012,9
2012-09-26,13413.51,3093.7,346.725541537728,318.046798381337,9323.52180519186,18973.0708305046,4395.24287589777,9365.60094730613,2012,9
2012-09-27,13485.97,3136.6,357.296298059377,326.291632947748,9382.9369266986,19083.3671564251,4441.21331077854,9413.64393538309,2012,9
